,track_title,album_title
415,Whiskey In The Jar,Garage Inc. (Disc 1)
416,Tuesday's Gone,Garage Inc. (Disc 1)
417,The More I See,Garage Inc. (Disc 1)
418,A Kind Of Magic,Greatest Hits II
419,Under Pressure,Greatest Hits II
420,Radio GA GA,Greatest Hits II
421,I Want It All,Greatest Hits II
422,I Want To Break Free,Greatest Hits II
423,Innuendo,Greatest Hits II
424,It's A Hard Life,Greatest Hits II
425,Breakthru,Greatest Hits II
426,Who Wants To Live Forever,Greatest Hits II
427,Headlong,Greatest Hits II
428,The Miracle,Greatest Hits II
429,I'm Going Slightly Mad,Greatest Hits II
430,The Invisible Man,Greatest Hits II
431,Hammer To Fall,Greatest Hits II
432,Friends Will Be Friends,Greatest Hits II
433,The Show Must Go On,Greatest Hits II
434,One Vision,Greatest Hits II
435,Detroit Rock City,Greatest Kiss
436,Black Diamond,Greatest Kiss
437,Hard Luck Woman,Greatest Kiss
438,Sure Know Something,Greatest Kiss
439,Love Gun,Greatest Kiss
440,Deuce,Greatest Kiss
441,Goin' Blind,Greatest Kiss
442,Shock Me,Greatest Kiss
443,Do You Love Me,Greatest Kiss
444,She,Greatest Kiss
445,I Was Made For Loving You,Greatest Kiss
446,Shout It Out Loud,Greatest Kiss
447,God Of Thunder,Greatest Kiss
448,Calling Dr. Love,Greatest Kiss
449,Beth,Greatest Kiss
450,Strutter,Greatest Kiss
451,Rock And Roll All Nite,Greatest Kiss
452,Cold Gin,Greatest Kiss
453,Plaster Caster,Greatest Kiss
454,God Gave Rock 'n' Roll To You,Greatest Kiss
455,Heart of the Night,Heart of the Night
456,De La Luz,Heart of the Night
457,Westwood Moon,Heart of the Night
458,Midnight,Heart of the Night
459,Playtime,Heart of the Night
460,Surrender,Heart of the Night
461,Valentino's,Heart of the Night
462,Believe,Heart of the Night
463,As We Sleep,Heart of the Night
464,When Evening Falls,Heart of the Night
465,J Squared,Heart of the Night
466,Best Thing,Heart of the Night
467,Maria,International Superhits
468,Poprocks And Coke,International Superhits
469,Longview,International Superhits
470,Welcome To Paradise,International Superhits
471,Basket Case,International Superhits
472,When I Come Around,International Superhits
473,She,International Superhits
474,J.A.R. (Jason Andrew Relva),International Superhits
475,Geek Stink Breath,International Superhits
476,Brain Stew,International Superhits
477,Jaded,International Superhits
478,Walking Contradiction,International Superhits
479,Stuck With Me,International Superhits
480,Hitchin' A Ride,International Superhits
481,Good Riddance (Time Of Your Life),International Superhits
482,Redundant,International Superhits
483,Nice Guys Finish Last,International Superhits
484,Minority,International Superhits
485,Warning,International Superhits
486,Waiting,International Superhits
487,Macy's Day Parade,International Superhits
488,Into The Light,Into The Light
489,River Song,Into The Light
490,She Give Me ...,Into The Light
491,Don't You Cry,Into The Light
492,Love Is Blind,Into The Light
493,Slave,Into The Light
494,Cry For Love,Into The Light
495,Living On Love,Into The Light
496,Midnight Blue,Into The Light
497,Too Many Tears,Into The Light
498,Don't Lie To Me,Into The Light
499,Wherever You May Go,Into The Light
500,Grito De Alerta,Meus Momentos
501,Não Dá Mais Pra Segurar (Explode Coração),Meus Momentos
502,Começaria Tudo Outra Vez,Meus Momentos
503,O Que É O Que É ?,Meus Momentos
504,Sangrando,Meus Momentos
505,"Diga Lá, Coração",Meus Momentos
506,Lindo Lago Do Amor,Meus Momentos
507,Eu Apenas Queria Que Voçê Soubesse,Meus Momentos
508,Com A Perna No Mundo,Meus Momentos
509,E Vamos À Luta,Meus Momentos
510,Um Homem Também Chora (Guerreiro Menino),Meus Momentos
511,Comportamento Geral,Meus Momentos
512,Ponto De Interrogação,Meus Momentos
513,"Espere Por Mim, Morena",Meus Momentos
514,Meia-Lua Inteira,Minha Historia
515,Voce e Linda,Minha Historia
516,Um Indio,Minha Historia
517,Podres Poderes,Minha Historia
518,Voce Nao Entende Nada - Cotidiano,Minha Historia
519,O Estrangeiro,Minha Historia
520,Menino Do Rio,Minha Historia
521,Qualquer Coisa,Minha Historia
522,Sampa,Minha Historia
523,Queixa,Minha Historia
524,O Leaozinho,Minha Historia
525,Fora Da Ordem,Minha Historia
526,Terra,Minha Historia
527,"Alegria, Alegria",Minha Historia
528,Balada Do Louco,Minha História
529,Ando Meio Desligado,Minha História
530,Top Top,Minha História
531,Baby,Minha História
532,A E O Z,Minha História
533,Panis Et Circenses,Minha História
534,Chão De Estrelas,Minha História
535,Vida De Cachorro,Minha História
536,Bat Macumba,Minha História
537,Desculpe Babe,Minha História
538,Rita Lee,Minha História
539,"Posso Perder Minha Mulher, Minha Mãe, Desde Que Eu Tenha O Rock And Roll",Minha História
540,Banho De Lua,Minha História
541,Meu Refrigerador Não Funciona,Minha História
542,Burn,MK III The Final Concerts [Disc 1]
543,Stormbringer,MK III The Final Concerts [Disc 1]
544,Gypsy,MK III The Final Concerts [Disc 1]
545,Lady Double Dealer,MK III The Final Concerts [Disc 1]
546,Mistreated,MK III The Final Concerts [Disc 1]
547,Smoke On The Water,MK III The Final Concerts [Disc 1]
548,You Fool No One,MK III The Final Concerts [Disc 1]
549,Custard Pie,Physical Graffiti [Disc 1]
550,The Rover,Physical Graffiti [Disc 1]
551,In My Time Of Dying,Physical Graffiti [Disc 1]
552,Houses Of The Holy,Physical Graffiti [Disc 1]
553,Trampled Under Foot,Physical Graffiti [Disc 1]
554,Kashmir,Physical Graffiti [Disc 1]
555,Imperatriz,Sambas De Enredo 2001
556,Beija-Flor,Sambas De Enredo 2001
557,Viradouro,Sambas De Enredo 2001
558,Mocidade,Sambas De Enredo 2001
559,Unidos Da Tijuca,Sambas De Enredo 2001
560,Salgueiro,Sambas De Enredo 2001
561,Mangueira,Sambas De Enredo 2001
562,União Da Ilha,Sambas De Enredo 2001
563,Grande Rio,Sambas De Enredo 2001
564,Portela,Sambas De Enredo 2001
565,Caprichosos,Sambas De Enredo 2001
566,Tradição,Sambas De Enredo 2001
567,Império Serrano,Sambas De Enredo 2001
568,Tuiuti,Sambas De Enredo 2001
569,(Da Le) Yaleo,Supernatural
570,Love Of My Life,Supernatural
571,Put Your Lights On,Supernatural
572,Africa Bamba,Supernatural
573,Smooth,Supernatural
574,Do You Like The Way,Supernatural
575,Maria Maria,Supernatural
576,Migra,Supernatural
577,Corazon Espinado,Supernatural
578,Wishing It Was,Supernatural
579,El Farol,Supernatural
580,Primavera,Supernatural
581,The Calling,Supernatural
582,Solução,The Best of Ed Motta
583,Manuel,The Best of Ed Motta
584,Entre E Ouça,The Best of Ed Motta
585,Um Contrato Com Deus,The Best of Ed Motta
586,Um Jantar Pra Dois,The Best of Ed Motta
587,Vamos Dançar,The Best of Ed Motta
588,Um Love,The Best of Ed Motta
589,Seis Da Tarde,The Best of Ed Motta
590,Baixo Rio,The Best of Ed Motta
591,Sombras Do Meu Destino,The Best of Ed Motta
592,Do You Have Other Loves?,The Best of Ed Motta
593,Agora Que O Dia Acordou,The Best of Ed Motta
594,Já!!!,The Best of Ed Motta
595,A Rua,The Best of Ed Motta
596,Now's The Time,The Essential Miles Davis [Disc 1]
597,Jeru,The Essential Miles Davis [Disc 1]
598,Compulsion,The Essential Miles Davis [Disc 1]
599,Tempus Fugit,The Essential Miles Davis [Disc 1]
600,Walkin',The Essential Miles Davis [Disc 1]
601,'Round Midnight,The Essential Miles Davis [Disc 1]
602,Bye Bye Blackbird,The Essential Miles Davis [Disc 1]
603,New Rhumba,The Essential Miles Davis [Disc 1]
604,Generique,The Essential Miles Davis [Disc 1]
605,Summertime,The Essential Miles Davis [Disc 1]
606,So What,The Essential Miles Davis [Disc 1]
607,The Pan Piper,The Essential Miles Davis [Disc 1]
608,Someday My Prince Will Come,The Essential Miles Davis [Disc 1]
609,My Funny Valentine (Live),The Essential Miles Davis [Disc 2]
610,E.S.P.,The Essential Miles Davis [Disc 2]
611,Nefertiti,The Essential Miles Davis [Disc 2]
612,Petits Machins (Little Stuff),The Essential Miles Davis [Disc 2]
613,Miles Runs The Voodoo Down,The Essential Miles Davis [Disc 2]
614,Little Church (Live),The Essential Miles Davis [Disc 2]
615,Black Satin,The Essential Miles Davis [Disc 2]
616,Jean Pierre (Live),The Essential Miles Davis [Disc 2]
617,Time After Time,The Essential Miles Davis [Disc 2]
618,Portia,The Essential Miles Davis [Disc 2]
619,Space Truckin',The Final Concerts (Disc 2)
620,Going Down / Highway Star,The Final Concerts (Disc 2)
621,Mistreated (Alternate Version),The Final Concerts (Disc 2)
622,You Fool No One (Alternate Version),The Final Concerts (Disc 2)
623,Jeepers Creepers,Up An' Atom
624,Blue Rythm Fantasy,Up An' Atom
625,Drum Boogie,Up An' Atom
626,Let Me Off Uptown,Up An' Atom
627,Leave Us Leap,Up An' Atom
628,Opus No.1,Up An' Atom
629,Boogie Blues,Up An' Atom
630,How High The Moon,Up An' Atom
631,Disc Jockey Jump,Up An' Atom
632,Up An' Atom,Up An' Atom
633,Bop Boogie,Up An' Atom
634,Lemon Drop,Up An' Atom
